P,S,sophisticatedstorage:wood_type
minecraft:oak_planks,minecraft:oak_slab,oak
minecraft:birch_planks,minecraft:birch_slab,birch
minecraft:spruce_planks,minecraft:spruce_slab,spruce
minecraft:jungle_planks,minecraft:jungle_slab,jungle
minecraft:acacia_planks,minecraft:acacia_slab,acacia
minecraft:dark_oak_planks,minecraft:dark_oak_slab,dark_oak
minecraft:mangrove_planks,minecraft:mangrove_slab,mangrove
minecraft:cherry_planks,minecraft:cherry_slab,cherry
minecraft:bamboo_planks,minecraft:bamboo_slab,bamboo
minecraft:crimson_planks,minecraft:crimson_slab,crimson
minecraft:warped_planks,minecraft:warped_slab,warped
