WoodType,Planks,Slab
oak,minecraft:oak_planks,minecraft:oak_slab
birch,minecraft:birch_planks,minecraft:birch_slab
spruce,minecraft:spruce_planks,minecraft:spruce_slab
jungle,minecraft:jungle_planks,minecraft:jungle_slab
acacia,minecraft:acacia_planks,minecraft:acacia_slab
dark_oak,minecraft:dark_oak_planks,minecraft:dark_oak_slab
cherry,minecraft:cherry_planks,minecraft:cherry_slab
bamboo,minecraft:bamboo_planks,minecraft:bamboo_slab
crimson,minecraft:crimson_planks,minecraft:crimson_slab
warped,minecraft:warped_planks,minecraft:warped_slab
biomesoplenty:fir,biomesoplenty:fir_planks,biomesoplenty:fir_slab
biomesoplenty:pine,biomesoplenty:pine_planks,biomesoplenty:pine_slab
biomesoplenty:maple,biomesoplenty:maple_planks,biomesoplenty:maple_slab
biomesoplenty:redwood,biomesoplenty:redwood_planks,biomesoplenty:redwood_slab
biomesoplenty:mahogany,biomesoplenty:mahogany_planks,biomesoplenty:mahogany_slab
biomesoplenty:jacaranda,biomesoplenty:jacaranda_planks,biomesoplenty:jacaranda_slab
biomesoplenty:palm,biomesoplenty:palm_planks,biomesoplenty:palm_slab
biomesoplenty:willow,biomesoplenty:willow_planks,biomesoplenty:willow_slab
biomesoplenty:dead,biomesoplenty:dead_planks,biomesoplenty:dead_slab
biomesoplenty:magic,biomesoplenty:magic_planks,biomesoplenty:magic_slab
biomesoplenty:umbran,biomesoplenty:umbran_planks,biomesoplenty:umbran_slab
biomesoplenty:hellbark,biomesoplenty:hellbark_planks,biomesoplenty:hellbark_slab
biomesoplenty:empyreal,biomesoplenty:empyreal_planks,biomesoplenty:empyreal_slab
